,Date,Media,Title,Article,Summary
32,"Sep 10, 2019",The National Law Review,Mississippi Reverses Stance on Plant-Based Meat Labeling,"Tuesday, September 10, 2019

As previously reported on this blog, Upton’s Naturals Co. and the Plant Based Foods Association (PBFA) filed a lawsuit challenging Mississippi’s law prohibiting cell-based, plant-based, or insect-based foods from being labeled as “meat” or a “meat food product” (i.e., “hamburgers,” “hotdogs,” etc.). The lawsuit was filed on July 1, 2019, the same day that the law took effect. The plaintiffs claimed that the Mississippi law violated their First Amendment right to free speech, among other things. The Institute for Justice (IJ) later joined the plaintiffs in the lawsuit.

Last week, the Mississippi Department of Agriculture and Commerce proposed new regulations to implement the law that would allow the use of meat and meat product terms on the labels of plant-based food if certain conditions are met. More specifically, the proposed regulations specify that a plant-based food product will not be considered to be labeled as a “meat” or “meat food product” if one or more of the following terms, or a comparable qualifier, is prominently displayed on the front of the package: “meat free,” “meatless,” “plant-based,” “veggie-based,” “made from plants,” “vegetarian,” or “vegan.”

After the proposed regulations were revised, Ag Commissioner Andy Gipson issued a statement on September 6, stated that the law “is constitutional and has not changed.” He added, “Our proposed rules support the law and make it clear these products cannot be false or misleading and cannot be labeled as meat or as a meat food product, but must use the qualifiers set out in the regulations.” He also claimed that there “was no need for a federal lawsuit.”

Expressing an opposing view, IJ issued a press release stating that the recently proposed regulatory changes were in response to the lawsuit. “Our lawsuit made it clear that subjecting plant-based food companies to possible criminal prosecution for using common terms on their labels would be a violation of their free speech rights,” said IJ Senior Attorney Justin Pearson.

Upton’s Natural and PBFA will consider dropping their federal lawsuit if the proposed regulations are adopted after the 25-day public comment period, according to the press release. We will continue to monitor and report on legal and regulatory activity in this area.","Tuesday, September 10, 2019As previously reported on this blog, Upton’s Naturals Co. and the Plant Based Foods Association (PBFA) filed a lawsuit challenging Mississippi’s law prohibiting cell-based, plant-based, or insect-based foods from being labeled as “meat” or a “meat food product” (i.e., “hamburgers,” “hotdogs,” etc.).
The lawsuit was filed on July 1, 2019, the same day that the law took effect.
The plaintiffs claimed that the Mississippi law violated their First Amendment right to free speech, among other things.
Last week, the Mississippi Department of Agriculture and Commerce proposed new regulations to implement the law that would allow the use of meat and meat product terms on the labels of plant-based food if certain conditions are met.
Upton’s Natural and PBFA will consider dropping their federal lawsuit if the proposed regulations are adopted after the 25-day public comment period, according to the press release."
33,"Nov 11, 2019",Food & Wine,Mississippi Revises Rules for Labeling Plant-Based Meat,"How often has this happened to you: You get home from the grocery store, fire up the grill, and then realize—dang it—you bought plant-based hamburgers instead of regular beef patties? Probably not often, but that was one of the concerns behind an initiative in Mississippi (and similar moves in other states) to bar plant-based meat companies from using butcher-like terms to label their products. Eventually, the state legislature came around to the idea that making it illegal to use ""meaty"" terms on plant-based foods wasn't the greatest idea. This week, Mississippi's revised labeling rules—which allow meaty terms as long as they are accompanied by qualifiers like ""meat-free,"" ""meatless,"" ""plant-based,"" ""vegetarian,"" ""vegan"" or similar terms—officially went into effect, and as a result, Upton's Naturals and the Plant Based Foods Association (PBFA) have officially dropped their lawsuit against the state.

mississippi-plant-based-meat-FT-BLOG1119.jpg Image zoom Credit: Smith Collection/Gado/Getty Images

""This is a total victory,"" Justin Pearson, a senior attorney with the Institute for Justice (IJ) and the lead attorney for the plaintiffs, said in the announcement. ""Our clients simply wanted to continue using clear labels with the terms consumers understand best. In response to our lawsuit, the Mississippi Department of Agriculture has done the right thing, so there is no need to move forward with the lawsuit."" As IJ points out, Mississippi already had laws against misleading labels, so Mississippi's new rules—which had taken effect one July 1—specifically discriminated against plant-based meat, allegedly at the behest of the Mississippi Cattlemen's Association.

""We are thrilled with this common-sense outcome of our lawsuit,"" added Michele Simon, the PBFA's executive director. ""We hope that other states considering similar legislation will follow Mississippi's lead in allowing clear qualifying terms that our members are already using to communicate to consumers."" Recently, we've seen similar fights and lawsuits in states like Arkansas and Missouri.

But it turns out the next fight could happen on a federal level: Last week, Rep. Anthony Brindisi, a New York Democrat, and Rep. Roger Marshall, a Kansas Republican, proposed a piece of bipartisan legislation—the Real Marketing Edible Artificials Truthfully (MEAT) Act—which states that ""any imitation meat food product, beef, or beef product shall be deemed to be misbranded unless its label bears, in type of uniform size and prominence, the word 'imitation' immediately before or after the name of the food and a statement that clearly indicates the product is not derived from or does not contain meat.""","Probably not often, but that was one of the concerns behind an initiative in Mississippi (and similar moves in other states) to bar plant-based meat companies from using butcher-like terms to label their products.
Eventually, the state legislature came around to the idea that making it illegal to use ""meaty"" terms on plant-based foods wasn't the greatest idea.
In response to our lawsuit, the Mississippi Department of Agriculture has done the right thing, so there is no need to move forward with the lawsuit.""
As IJ points out, Mississippi already had laws against misleading labels, so Mississippi's new rules—which had taken effect one July 1—specifically discriminated against plant-based meat, allegedly at the behest of the Mississippi Cattlemen's Association.
Recently, we've seen similar fights and lawsuits in states like Arkansas and Missouri."
34,"Mar 23, 2018",,Mississippi high school students participate in World Food Prize Mississippi Youth Institute,"Contact: Vanessa Beeson

STARKVILLE, Miss. —More than a dozen high school students participated in the second annual World Food Prize Mississippi Youth Institute on Friday [March 23] at Mississippi State University.

Hosted by the College of Agriculture and Life Sciences, students from across Mississippi spent the day engaged in conversation about global food security with their peers, teachers, MSU faculty and administrators and various food security experts.

Attendees were officially designated Borlaug Scholars for their participation and are eligible for scholarships to Mississippi State University. The Borlaug Scholars pay tribute to the World Food Prize’s founder Norman E. Borlaug. To become a Borlaug Scholar, each student wrote a research paper about a developing country and a food security topic. Each project included innovative ways to improve global food security. The students presented their findings at the on-campus event.

“The Mississippi Youth Institute is a partnership program with the World Food Prize. It challenges high school students to explore the world’s most pressing issues related to food security,” said Libby Crimmings, the World Food Prize’s national education program director. “The World Food Prize’s founder, Dr. Norman E. Borlaug, was passionate about working with students. He believed if you want people solving these challenges when they are 60 years old, they have to be thinking about it when they are 16 years old.”

MSU President Mark E. Keenum, a global food security champion, welcomed the students in an opening session.

“By 2050, the world population will surpass 10 billion. That means we will need to feed an additional 3 billion people at our global dinner table by the time this class of Borlaug Scholars reaches their 40s,” Keenum said. “That’s why we need young talented students like this who take an interest in the future of the world to try and make a difference, serve humanity and address these critical challenges.”

“It’s also why Mississippi State, as a leading land-grant research institution trained on improving food security on a global scale, is tackling many of these problems today. We are trying to address these challenges through science and research to figure out how we can advance productivity so we can feed the world.” Keenum added.

Scott Willard, associate dean of MSU’s College of Agriculture and Life Sciences, along with support from the entire MSU Division of Agriculture, Forestry and Veterinary Medicine administration, has been instrumental in seeing this institute come to fruition.

“Our college is thrilled to host the second annual World Food Prize Mississippi Youth Institute. Achieving global food security is essential as it becomes evident that we must feed more people with fewer resources,” Willard said. “This program provides a platform for high school students to formulate novel solutions to help solve one of the most pressing needs of their generation.”

Students also attended the college’s Charles E. Lindley Lecture. Charles H. Beady Jr., CEO of the Mississippi Food Network, presented on hunger in the Magnolia State. His presentation, “Mississippi: The Hungriest State in the Nation” explained how MFN is addressing food insecurity.

Top students from World Food Prize Mississippi Youth Institute will be invited to the Global Youth Institute in Iowa in October. Participating students also are eligible to apply to the Borlaug Ruan International Internship and the USDA Wallace-Carver Fellowship.

Participating Borlaug Scholars include (by hometown):

BELMONT

Jonah Holland, a homeschooled student, discussed education through technology as a way to help farming families who raise livestock in Nepal.

BROOKSVILLE

Tera Dora of Golden Triangle Early College High School discussed how better leadership, increased access to education, and improved sewage systems can reduce water scarcity in North Korea.

Sherquesha Stewart of Golden Triangle Early College High School discussed how teaching vulnerable populations in Australia about basic rights and available services, like the Australian Indigenous Wellness Program, can help improve food access.

COLUMBUS

Dominique Key of Golden Triangle Early College High School discussed how small-scale gardening and farming can improve food access for people in Cuba.

Ayden Richardson of Golden Triangle Early College High School discussed how water catchment systems can increase access to clean water and improve sanitation in Haiti.

MACON

Jilkiah Bryant of Mississippi School for Mathematics and Science discussed how an improved food and water supply can reduce infectious disease among military personnel, foreign aid workers, and local populations in Afghanistan.

Jarius Hudgins of Golden Triangle Early College High School discussed how partnerships between urban and rural communities in South Africa can improve food spoilage and waste.

Quentin Jamison of Golden Triangle Early College High School discussed how social issues in Brazil affect the population’s access to food security and how policy change, agricultural technology and grassroots efforts can help turn the tide.

Tomyah Smith of Golden Triangle Early College High School discussed how improving Egypt’s education system can have a positive impact on the country’s food security.

MERIDIAN

Shelby Wheat of Clarkdale High School discussed the risks of consuming unpasteurized milk in countries like Venezuela.

MONTICELLO

Sarina Dale of Lawrence County High School discussed ways to pay for the poverty in Swaziland.

PHEBA

Kaleb Kellum of Golden Triangle Early College High School discussed how the spread of infectious disease impacts food security in Egypt and how engagement in the Food and Agriculture Organization’s projects within the country can help improve outcomes.

STARKVILLE

Mary Driskill of Golden Triangle Early College High School discussed ways to help reduce malnutrition in children in Guatemala.

Abigail Shaw of Golden Triangle Early College High School discussed the effects of animal health on human health in Botswana and how better access to technology, education and vaccines can help improve outcomes.

For more information on the College of Agriculture and Life Sciences, visit www.cals.msstate.edu.

MSU is Mississippi’s leading university, available online at www.msstate.edu.","—More than a dozen high school students participated in the second annual World Food Prize Mississippi Youth Institute on Friday [March 23] at Mississippi State University.
It challenges high school students to explore the world’s most pressing issues related to food security,” said Libby Crimmings, the World Food Prize’s national education program director.
Top students from World Food Prize Mississippi Youth Institute will be invited to the Global Youth Institute in Iowa in October.
MERIDIANShelby Wheat of Clarkdale High School discussed the risks of consuming unpasteurized milk in countries like Venezuela.
STARKVILLEMary Driskill of Golden Triangle Early College High School discussed ways to help reduce malnutrition in children in Guatemala."
35,"Mar 15, 2020",Bloomberg,Are you a robot?,"Why did this happen?

Please make sure your browser supports JavaScript and cookies and that you are not blocking them from loading. For more information you can review our Terms of Service and Cookie Policy.","Why did this happen?
Please make sure your browser supports JavaScript and cookies and that you are not blocking them from loading.
For more information you can review our Terms of Service and Cookie Policy."
36,5 days ago,GazetteNET,Food & Farm: A ‘HIP’ way to bolster food security,"A few weeks ago, I went with my friend, Kathleen Chapman — or KC, as she’s called — to the February Winter Farmers’ Market at the Northampton Senior Center.

KC is a Southerner, a smart, funny artist and teacher who moved to Northampton from Mississippi in 2019. Shopping with her is always a good reminder of how blessed western Massachusetts is with relative abundance. Mississippi is a state that consistently ranks as the most food insecure in the nation, with a good many of its residents living miles from the nearest grocery store.

KC always remarks on the plenty of the Pioneer Valley, joking sometimes that someone needs to set up a swap between this area and the South, in which the South will ship dogs to Northampton in exchange for food.

The catch, however, is that food, along with everything else, is so much more expensive here than in Mississippi. KC, who lives in senior housing downtown, uses a combination of SNAP (the Supplemental Nutritional Assistance Program — what people used to know as food stamps) and Survival Center groceries to help her stretch her fixed budget. At the Farmers’ Market, she also has access to an additional tool in the form of HIP benefits.

HIP is the Healthy Incentives Program, a state- and USDA-funded program that provides monthly incentives to SNAP households when they purchase fresh local vegetables and fruit at farmers markets, mobile markets, farm shares and farm stands. HIP automatically adds back any SNAP money spent at one of the above outlets, up to a certain amount. So, for instance, the SNAP money KC spends on local produce at the Winter Market is immediately added back to her Electronic Benefits Transfer (EBT) card, and, as a household of one, she can spend up to $40 a month on local produce via HIP.

It’s not hard to see how this might benefit the health and well-being of households with limited means. Nutrition research can be fickle and biased, but to my knowledge, there is no study that argues that increasing your daily intake of vegetables will do anything but improve your health outcomes.

And people have been using HIP. Since the program began in 2017, SNAP sales at farm retail outlets increased by a whopping 1,250%; to date, 88,000 families have used their HIP incentives, 45% of whom include seniors, and 30% of whom include children.

The program has been popular enough that the state has periodically had to halt its disbursement of HIP funding because it underestimated the demand for fresh, local produce among its low-income citizens. And besides produce, HIP can also be used to purchase edible plants, so that people who have a bit of growing room can spend their HIP allowance on veggie and herb plant starts, thus increasing their access to fresh produce for an entire season.

If these were the only benefits that accrued to the community via HIP, the program would already be an asset, but its value extends beyond the customers. HIP does a good amount of legwork in the effort to create a more sustainable food system by supporting local farmers as well.

For growers, the cost of organically raising, picking, washing, packaging and distributing produce while stewarding land in a holistic, sustainable way while paying themselves and their workers a living wage is undeniably high.

According to Olivia Pettingill of Wingate Farm, the HIP program has permitted farmers like her to cover their costs while feeding a more economically diverse range of people.

“HIP has significantly enabled a more equal distribution of high-quality produce to our local community,” she says, “and it’s done this while allowing small farmers to stay in business and even thrive.”

She points out that HIP has more lasting effects as well on the kind of general thinking and public curiosity that lead to greater food security. Local farmers try to grow produce and fruits that do well in our local climate, but that doesn’t always mean growing the vegetables that are the most conventionally recognized.

HIP incentivizes people to try different kinds of veggies that are more locally sustainable, and in doing so, it builds a marketplace that relies less on foods from far-flung places, thus reducing the carbon footprint of shipping.

SNAP Match

The program is not without its issues. As mentioned, there have been periods when it shut down for lack of funding, which is confusing and frustrating for those attempting to use their benefits. This inconsistency also limits farmers’ ability to plan, as well as HIP’s ability to make a sustained difference in people’s eating habits.

Also, if you don’t have any SNAP money left on your EBT card, you can’t access your HIP benefits, even though the two amounts are not dependent on each other. And a further issue is that the benefits are pretty specific: You can buy local vegetables and fruit, but other farm products such as eggs or meat aren’t covered.

In an effort to fill that gap, Grow Food Northampton, which operates the Tuesday Farmers’ Market and the current Winter Farmers’ Market, offers SNAP Match, a system in which Grow Food matches the amount of SNAP money an individual spends at the farmers market. (SNAP Match also doubles the match for the first $10 people spend.) In this way, farmers who sell products other than veggies aren’t left out, and people doing their shopping with SNAP benefits are given a wider selection of choices.

It’s rare, I think, to find elegant solutions where food access is concerned, and even rarer when food access, environmental stewardship and the local economy work together in any kind of synergistic fashion, which is why the combination of HIP and SNAP Match — and their potential to help further a smaller, more sustainable, and more equitable food system — is so ingenious.

The majority of SNAP Match is even funded locally, by Valley Home Improvement, which, over the last four years, has doubled the amount of assistance that Grow Food can provide to customers. Steve Silverman, Valley Home Improvement’s founder, says the company is keen on supporting local business and addressing food insecurity as well — values that are complementary and aligned in SNAP Match.

While SNAP Match will continue as long as Grow Food has the money to support it, the proposed state budget for the next fiscal year cuts HIP funding from this year’s $13 million to $5 million in 2022. Given the many benefits to both local farms and families who would otherwise lack access to sustainable fresh local produce, this seems short-sighted from every angle.

Why not keep the momentum going on a program that has demonstrated great potential to positively affect the health of the commonwealth’s most disadvantaged citizens while also allowing local farm businesses to thrive and grow food in a way increases our food security and decreases our carbon footprint?

After the events of the past year, with scary disruptions to the national supply chain due to COVID, it’s in everyone’s interest to take a closer look at the steps we can take to ensure that the bounty that KC remarked upon isn’t jeopardized — and the continued funding of HIP is one of them.

KC, by the way, came away from the Winter Market with beets and onions, eggs, a small amount of bacon for cooking with some dried lima beans, and a jug of maple syrup, which she uses to sweeten her coffee — a nice balance of items good for both body and spirit.

While on occasion the complexity of figuring out the various different systems available to help her access better quality food has been frustrating, she believes absolutely in SNAP Match and HIP as valuable resources that should be funded, and not just for her own sake.

“The vegetables are so expensive at the store that I’m hesitant to buy them,” she told me, “but here [at the Farmer’s Market], I can get these delicious fresh organic vegetables, and it’s helped me a lot. And the fact that the farmers are being supported is the biggest thrill to me.”

Francie Lin is Grow Food Northampton’s food access coordinator. She can be reached at francie@growfoodnorthampton.org.","At the Farmers’ Market, she also has access to an additional tool in the form of HIP benefits.
HIP does a good amount of legwork in the effort to create a more sustainable food system by supporting local farmers as well.
According to Olivia Pettingill of Wingate Farm, the HIP program has permitted farmers like her to cover their costs while feeding a more economically diverse range of people.
(SNAP Match also doubles the match for the first $10 people spend.)
And the fact that the farmers are being supported is the biggest thrill to me.”Francie Lin is Grow Food Northampton’s food access coordinator."
37,"May 13, 2020",WAPT Jackson,Mississippi Food Network receives generous donation,"A donation to the Mississippi Food Network will provide food for hundreds of families in need because of the COVID-19 crisis.The Blue Cross & Blue Shield of Mississippi Foundation's donation will supply food boxes for families and senior citizens, especially in rural areas that do have the access to grocery stores and other services found in the urban areas. It will also provide meal/snack bags packed with child-friendly foods for children who rely on meals at school. ""As the COVID-19 pandemic continues, the Foundation is supporting food banks across the state so that Mississippians will have access to healthy foods,” said Sheila Grogan, president of Blue Cross & Blue Shield of Mississippi Foundation.So far, the foundation has distributed to 228 food pantries in 56 counties that are served by the Mississippi Food Network. Mississippi Food Network CEO Charles Beady said they appreciate the partnership with the Blue Cross & Blue Shield of Mississippi Foundation. ""Their investment in our organization is an investment in the people of Mississippi and will help us provide food assistance to those who need our services. Working together, we can help each other through these unfamiliar times,"" Beady said.

A donation to the Mississippi Food Network will provide food for hundreds of families in need because of the COVID-19 crisis.

The Blue Cross & Blue Shield of Mississippi Foundation's donation will supply food boxes for families and senior citizens, especially in rural areas that do have the access to grocery stores and other services found in the urban areas. It will also provide meal/snack bags packed with child-friendly foods for children who rely on meals at school.

Advertisement

""As the COVID-19 pandemic continues, the Foundation is supporting food banks across the state so that Mississippians will have access to healthy foods,” said Sheila Grogan, president of Blue Cross & Blue Shield of Mississippi Foundation.

So far, the foundation has distributed to 228 food pantries in 56 counties that are served by the Mississippi Food Network.

Mississippi Food Network CEO Charles Beady said they appreciate the partnership with the Blue Cross & Blue Shield of Mississippi Foundation.

""Their investment in our organization is an investment in the people of Mississippi and will help us provide food assistance to those who need our services. Working together, we can help each other through these unfamiliar times,"" Beady said.","A donation to the Mississippi Food Network will provide food for hundreds of families in need because of the COVID-19 crisis.The Blue Cross & Blue Shield of Mississippi Foundation's donation will supply food boxes for families and senior citizens, especially in rural areas that do have the access to grocery stores and other services found in the urban areas.
Mississippi Food Network CEO Charles Beady said they appreciate the partnership with the Blue Cross & Blue Shield of Mississippi Foundation.
A donation to the Mississippi Food Network will provide food for hundreds of families in need because of the COVID-19 crisis.
So far, the foundation has distributed to 228 food pantries in 56 counties that are served by the Mississippi Food Network.
Mississippi Food Network CEO Charles Beady said they appreciate the partnership with the Blue Cross & Blue Shield of Mississippi Foundation."
38,"Aug 12, 2020",WLOX,The Mississippi State Department of Health preparing to close 13 WIC locations,"“We know this will be a challenge for some of our participants and we are doing everything that we can to supply them nutritious foods the best way that we can during this transition,” said Jameshyia Ballard, WIC Vendor Director.","“We know this will be a challenge for some of our participants and we are doing everything that we can to supply them nutritious foods the best way that we can during this transition,” said Jameshyia Ballard, WIC Vendor Director."
39,"Jul 3, 2019",Newsweek,Mississippi Food-Labeling Law Ban Terms Like 'Meatless Meatballs' and 'Vegan Bacon',"A new law in Mississippi bans vegetarian and vegan meat substitutes from using meat-related terms like ""bacon"" and ""meatballs.""

On Monday, the same day the law took effect, Mississippi Gov. Phil Bryant was sued by Upton's Naturals and the Plant Based Foods Association for violating manufacturers' First Amendment rights.

According to the new regulations, food made from plants—or insects—cannot be labelled as meat or ""a meat food product."" The law also bans food using animal tissue created from laboratory cultures from being labeled meat.

""They tell me that fake steak looks just like our real meat,"" Billy Hudson (R-Hattiesburg), told the AP. ""I don't want to eat meat grown by a test tube in a laboratory. If my constituents do, they ought to know what they're getting.""

Launched in 2006 ""with a focus on meat alternatives and vegan values"" Upton's Naturals offers a variety of vegan products, including seitan burgers and Ch'eesy Bacon Mac (made with wheat gluten). In court filings, the company claims using terms like bacon and burger ""increase consumer understanding of the foods' characteristics and communicate how the foods should be prepared and eaten.""

The Plant Based Foods Association adds that ""no reasonable consumer would be misled"" by the packaging.

But the $49.5 billion beef, poultry, pork and lamb industry isn't taking any chances: ""Our marching orders were to protect beef nomenclature,"" Danielle Beck, director of government affairs for the National Cattlemen's Beef Association, told the AP in 2018.

According to GlobalData, 70% of the world population is reducing meat consumption. There's been 600 percent increase in Americans identifying as vegan over the last three years. And sales of plant-based meals shot up 20 percent between 2017 and 2018 alone, according to Nielsen.

The restaurant industry is taking notice: By the end of the year, the plant-based Impossible Whopper will be available at Burger Kings nationwide.

It's millennials who ""are most likely to consider the food source, animal welfare issues, and environmental impacts when making their purchasing decisions,"" says GlobalData consumer analyst Fiona Dyer.

But as consumers are turning to meatless alternatives, meat producers are pushing back: Twelve states have laws similar to Mississippi's—Louisiana's also bars non-rice products from being described as rice and sugar alternatives from being marketed as sugar. Tofurky Co. sued Missouri over its labeling law, though the case was settled out of court this year for an undisclosed amount.

And they're not the only ones with a beef: The dairy industry is balking at using labels like ""milk"" and ""mayonnaise"" in vegetarian and vegan substitutes like soy milk, oat milk and Hampton Creek's egg-free Just Mayo.","A new law in Mississippi bans vegetarian and vegan meat substitutes from using meat-related terms like ""bacon"" and ""meatballs.""
Phil Bryant was sued by Upton's Naturals and the Plant Based Foods Association for violating manufacturers' First Amendment rights.
According to the new regulations, food made from plants—or insects—cannot be labelled as meat or ""a meat food product.""
The law also bans food using animal tissue created from laboratory cultures from being labeled meat.
Tofurky Co. sued Missouri over its labeling law, though the case was settled out of court this year for an undisclosed amount."
40,"Nov 30, 2020",al.com,Mississippi chicken processing plants to pay back wages after immigration raids,"CLARIFICATION: This story was first published on November 20, 2020. The story and summary were updated on November 30, 2020 to explain that Peco Foods disputes that it broke any laws. It says some workers detained in immigration raids failed to pick up paychecks and the money was later transferred to the Department of Labor so they could find the workers and pay them.

JACKSON, Miss. (AP) — Three Mississippi chicken processing plants among those targeted in one of the largest workplace immigration raids in the U.S. in the past decade have agreed to pay back wages after federal officials found they failed to pay minimum wage and overtime to their workers.

The U.S. Department of Labor announced Nov. 20 that three plants have paid $45,719 in back wages to 129 employees.

The plants targeted in the investigation were a Canton complex owned by Peco Foods of Tuscaloosa, Alabama; a Morton complex owned by Koch Foods of Park Ridge, Illinois; and Pearl River Foods of Carthage, a company headquartered in Gainesville, Georgia.

The Labor Department’s Wage and House Division found the employers failed to issue final paychecks to multiple workers.

Peco denied violating minimum wage laws. It said 15 workers detained in the August 2019 raids failed to retrieve paychecks worth a cumulative $6,215.97. The company said it gave the money to federal officials so they could look for and pay the workers. The Labor Department said failing to pay the workers was a violation.

Officials also found that Pearl River Foods deducted so much money for uniforms that employees were illegally paid less than minimum wage. Investigators also determined Koch failed to include production bonuses when calculating overtime, another legal violation.

The Labor Department assessed a civil fine of $1,693 against Koch for employing a 15-year-old to work in meat processing. Children under 18 aren’t allowed to do that work under federal law.

Officials also raided A&B in Pelahatchie, PH Food in Morton and additional Peco Foods plant in Bay Springs and Sebastapol in the August 2019 raids, which led to the arrests of 680 workers accused of being in the country illegally or using forged documents to gain work.

The raids brought an outcry from critics who said some children had their parents swept up and that workers were unfairly targeted without going after the companies that employ them. In August, on the anniversary of the raids, officials said more than 125 people had been indicted on criminal charges. An unknown number of additional people have been deported in administrative proceedings without facing criminal charges.

Also indicted are four executives from two plants who federal officials said had harbored people in the U.S. illegally and assisted them with obtaining false documents to enable employment or making false statements about hiring workers without proper documents.

Salvador Delgado-Nieves and Iris Villalon worked at A&B, while Carolyn Johnson and Aubrey “Bart” Willis worked for Pearl River Foods. All have pleaded not guilty and are scheduled for trial next year.

Federal officials have said the raids were justified because people in the country illegally steal Social Security numbers to gain work. Mike Hurst, the U.S. Attorney in southern Mississippi, also argued that people in the country illegally take jobs from American citizens and depress their wages.","It says some workers detained in immigration raids failed to pick up paychecks and the money was later transferred to the Department of Labor so they could find the workers and pay them.
(AP) — Three Mississippi chicken processing plants among those targeted in one of the largest workplace immigration raids in the U.S. in the past decade have agreed to pay back wages after federal officials found they failed to pay minimum wage and overtime to their workers.
The U.S. Department of Labor announced Nov. 20 that three plants have paid $45,719 in back wages to 129 employees.
It said 15 workers detained in the August 2019 raids failed to retrieve paychecks worth a cumulative $6,215.97.
In August, on the anniversary of the raids, officials said more than 125 people had been indicted on criminal charges."
41,"Oct 5, 2020",Youth Today,Mississippi Nonprofit and Food Pantry Support Grants,"Search Site

Search Grants Only

Search by Author

Twitter In order for us as a society to realize the full potential of restorative https://t.co/K77HE2yiAS In order for us as a society to realize the full potential of restorative #justice (and, really, in order for this country to move forward in any truly positive way), we must finally acknowledge and address those first harms. #RacialBias h R Syed Hamza, 16, from https://t.co/3WSZRvaYk6 Syed Hamza, 16, from #Atlanta is our January photographer of the month winner for Bokeh Focus, our photography platform. He competed against three others, and his photo received the most votes. Gallery: https://t.co/IesP8w8P3o Interview: https://t.co/dKrBv5et7K h R GRANT OPPORTUNITY Click to see deadlines & details: GRANT OPPORTUNITY Click to see deadlines & details: https://t.co/rOD80LUUB4 h R Numerous studies have demonstrated a link between childhood lead poisoning and crime, including violent Numerous studies have demonstrated a link between childhood lead poisoning and crime, including violent #crime such as homicide. https://t.co/zuf5SH17pJ h R John, the youngest, didn’t even have a gun, nor was he accused of the killing. Nevertheless, he received two consecutive life sentences for felony https://t.co/jPkF57JNo1 John, the youngest, didn’t even have a gun, nor was he accused of the killing. Nevertheless, he received two consecutive life sentences for felony #murder and #robbery. #JuvenileJustice h R Sports programs serving low-income communities have seen a big drop in youth participation because of the pandemic, according to a survey of youth sports nonprofits. #OST https://t.co/dIGVShNLsX Sports programs serving low-income communities have seen a big drop in youth participation because of the pandemic, according to a survey of youth sports nonprofits. #Youth h R Follow @YouthToday

Archives Archives Select Month March 2021 February 2021 January 2021 December 2020 November 2020 October 2020 September 2020 August 2020 July 2020 June 2020 May 2020 April 2020 March 2020 February 2020 January 2020 December 2019 November 2019 October 2019 September 2019 August 2019 July 2019 June 2019 May 2019 April 2019 March 2019 February 2019 January 2019 December 2018 November 2018 October 2018 September 2018 August 2018 July 2018 June 2018 May 2018 April 2018 March 2018 February 2018 January 2018 December 2017 November 2017 October 2017 September 2017 August 2017 July 2017 June 2017 May 2017 April 2017 March 2017 February 2017 January 2017 December 2016 November 2016 October 2016 September 2016 August 2016 July 2016 June 2016 May 2016 April 2016 March 2016 February 2016 January 2016 December 2015 November 2015 October 2015 September 2015 August 2015 July 2015 June 2015 May 2015 April 2015 March 2015 February 2015 January 2015 December 2014 November 2014 October 2014 September 2014 August 2014 July 2014 June 2014 May 2014 April 2014 March 2014 February 2014 January 2014 December 2013 November 2013 October 2013 September 2013 August 2013 July 2013 June 2013 May 2013 April 2013 March 2013 February 2013 January 2013 December 2012 November 2012 October 2012 September 2012 August 2012 July 2012 June 2012 May 2012 April 2012 March 2012 February 2012 January 2012 December 2011 November 2011 October 2011 September 2011 August 2011 July 2011 June 2011 May 2011 April 2011 March 2011 February 2011 January 2011 December 2010 November 2010 October 2010 September 2010 August 2010 July 2010 June 2010 May 2010 April 2010 March 2010 February 2010 January 2010 December 2009 November 2009 October 2009 September 2009 August 2009 July 2009 June 2009 May 2009 April 2009 March 2009 February 2009 January 2009 December 2008 November 2008 October 2008 September 2008 August 2008 July 2008 June 2008 May 2008 April 2008 March 2008 February 2008 January 2008 November 2007 October 2007 September 2007 August 2007 June 2007 May 2007 April 2007 March 2007 January 2007 November 2006 October 2006 September 2006 August 2006 June 2006 May 2006 April 2006 March 2006 February 2006 January 2006 December 2005 November 2005 October 2005 September 2005 August 2005 July 2005 June 2005 May 2005 April 2005 March 2005 February 2005 January 2005 November 2004 October 2004 September 2004 July 2004 June 2004 May 2004 April 2004 March 2004 February 2004 January 2004 December 2003 November 2003 October 2003 September 2003 August 2003 July 2003 June 2003 May 2003 April 2003 March 2003 February 2003 January 2003 November 2002 October 2002 September 2002 August 2002 July 2002 June 2002 May 2002 April 2002 March 2002 February 2002 September 2001 August 2001 June 2001 May 2001 April 2001 March 2001 February 2001 January 2001 July 2000 June 2000 May 2000 April 2000 March 2000 February 2000 January 2000 January 1998","#RacialBias h R Syed Hamza, 16, from https://t.co/3WSZRvaYk6 Syed Hamza, 16, from #Atlanta is our January photographer of the month winner for Bokeh Focus, our photography platform.
He competed against three others, and his photo received the most votes.
https://t.co/zuf5SH17pJ h R John, the youngest, didn’t even have a gun, nor was he accused of the killing.
Nevertheless, he received two consecutive life sentences for felony https://t.co/jPkF57JNo1 John, the youngest, didn’t even have a gun, nor was he accused of the killing.
#OST https://t.co/dIGVShNLsX Sports programs serving low-income communities have seen a big drop in youth participation because of the pandemic, according to a survey of youth sports nonprofits."
