,Tweets,label
76,dope!! that's a cool word. finally down with the hip young millenial memers smile,positive
77,2nd Cousin Vlad !!!!! maybe thats a message from the Hockey G,positive
78,Thanks for the recent follow Happy to connect happy  have a great Thursday. (Want this?,positive
79,Earlier happy,positive
80,Just win at weekend and it will be a late gift,positive
81, ok? :D,positive
82,we finally got jinyoung to wipe it for jaebum himself but their precious son blocks it for the world to witness it,positive
83,Here is question 18! Make sure to use in all your tweets  replies happy,positive
84,And this credit also goes to Ik happy,positive
85,My other accounts:them both or get rekt! :D,positive
86,Hey thanks for being top new followers this week! Much appreciated happy,positive
87,Les videre happy,positive
88,clauditte,positive
89,my friend is such an egg,positive
90,congratulations David! Well done Mrs V! Welcome Jessica! happy,positive
91,have you tried these new hacks?! **TRYING DUMB LIFE HACKS 17**,positive
92,Keep tweeting team. Higher! Thank you for the efforts. :)KISSES TheFashionIcon,positive
93,here are some very happy boys to brighten up your day happy,positive
94,A huge thank you to all the within the Social Work  Care Sectors! Keep up the great work happy,positive
95,Lunchtime with Flinthook! This game has so much personality :D,positive
96,Ministers of PMLN are happy like those students who never studied for exams  luckily exams got delayed. They'll still ha,positive
97,:D When mom is a bit tired,positive
98,What we did after the climax shot happy,positive
99,Miss Petite happy Thursday happy   looking forward to the weekend?,positive
100,rt  quote with your name for a calligraphy of it happy  i'll try my best to make it pretty!! non mutuals/mutuals (ifb) fl,positive
101,mutual: let's talk more!me: for sure!mutual:  happy  me:,positive
102,I got TH will add sim ant as a possible thanks happy,positive
103,If you want a friend in Washington,positive
104, get a dog. :D,positive
105,Congrats Winner :D and it's Eyounji you did well my girl,positive
106,Did you notice? There is no killings of RSS / BJP workers in another Southern State? CM is dismantling Xtian infra in Munnar?,positive
107,Hi please rt my pinned post happy,positive
108,The video will definitely be a 30 minute episode if not longer.,positive
109,I would love to win these gorgeous nail polishes :D! Aren't they cute,positive
110,Jae celebrating with Sheena Easton after the triumphant opening night of 42nd Street in the West End! happy,positive
111,Happy belated birthday :)Another duet of you and Amaal is much needed,positive
112,Your titties are fantastic. Kissy Kissy,positive
113,Pls RT[NCT FIC] Love Song,positive
114,Goodevening happy,positive
115,Ministers of PMLN are happy like those students who never studied for exams  luckily exams got delayed. They'll still ha,positive
116,Thanks for the retweets this week. Much appreciated happy   Want this,positive
117,=Thumbnail UHC= This is my best render ever :Dand Favs are appreciated brosOpinios ?,positive
118,Thanks again for notifying us! We have updated our add-on plans accordingly happy,positive
119,Very cool! happy  surrounds you for a full recovery.,positive
120,A nice morning working from today. Lovely atmosphere,positive
121, friendly service,positive
122, wifi,positive
123, comforting London fog.,positive
124,I just did happy,positive
125,Have a great day everyone happy,positive
126,Kiera's Quest: Awakenings (Kiera's Quest  Book 1),positive
127,Have you voted for The Wolf's Bite on Greenlight yet? happy  help us get Wolfie  Pigs on Steam!,positive
128,Go back to school for music! I think I will in time happy,positive
129,Here is a new thesis by another genius.Sir,positive
130, we loved to have reply by you. :D Now get lost .,positive
131,your birthday isn't for another for hours for me,positive
132, but happy birthday hoe! have a good day,positive
133, i love you i guess happy,positive
134,Its hard to see your best friend with another girl happy,positive
135,The offer still going happy,positive
136,If you can't be there for someone at their worst then you don't deserve to be there at their best :)KISSES TheFashionIcon,positive
137,Demit the gocoh game is real crying with joy,positive
138,Found use for the sewable LED holder happy,positive
139,Select from 14 award-winning Laura Taylor romance ebooks,positive
140,So excited for the things coming in the future happy  things are going great,positive
141,you guys are entertaining and insightful... and one of the reasons i have been really enjoying LPL a lot more this season :D,positive
142,Thats how it sounds like at superbooth happy,positive
143,i want to learn the choreo but my ugly body says no crying with joy,positive
144,Share the love you're top engaged community members this week! Much Appreciated happy,positive
145,Hi Kylie,positive
146, looking forward to you visiting! You've picked a great day too,positive
147, the sun is shining happy,positive
148,Ok. Just please read the replies on this....,positive
149,THIS RIGHT HERE.aren't you happy you don't have [x]???NO. BECAUSE I'M STILL HERE IN THIS 'CONDITION' WITH NO I,positive
150,To all FLA members and officers who are going to Cebu tomorrow silence  Godbless piss off mga ante and angkol!  happy,positive
151,for every like ill post an answer smile,positive
152,Maybe not a band but we can definitely collab! Hi my name is Philip  happy,positive
153,LEGO_Group: LegoThursdays JokerSquad_SWG LEGOLANDWindsor Sounds like you had lots of fun! happy,positive
154,a friend who would like a BRAND NEW Strapback hats only 14.99 at,positive
155,yes you had smile,positive
156,mata_tytan: almightyTANNER: good evening everyone happy  join our twitter party tonight. official tagline:TANN,positive
157,First attempts of bird photography. :-)Passer domesticus. How surprising. wink,positive
158,People who don%27t know me always think I am quiet. People who do know me. wish I was :)KISSES TheFashionIcon,positive
159,Love you too P!,positive
160,RT: good evening everyone happy  join our twitter party tonight. official tagline:TANNER WelcomeBackPH TMI,positive
161,oh yes happy,positive
162,Hey Robert Rolih thanks for the follow! What does coastal living mean to you? Reply with photo :D,positive
163,Have you ever been to AUSTRALIA! :D Love your vids. Lovo on youtube :D,positive
164,OPENING UP TO YOU LOT!RT LIKES WOULD BE LAAAAAVERLY :D .xxENJOY,positive
165,In other words they never missed articles happy,positive
166,IF THE BELOW TWEET HITS 1000 IS GETTING RIAN HOLDING THE STICKER TOO!!! Click the below tweet  SM,positive
167,Bill Nye Answers Science Questions From Twitter | WIRED,positive
168,How are you doing today? happy,positive
169,We're ready for our next fire lighting session at - we have a few keen early birds here already smile,positive
170,Go Kisses!!...  I know you can do it..,positive
171,If this gets 70rts I will giveaway 5 minecraft accounts and an origin account randomly to people who retw,positive
172,Hi Mr. Yen! Will you be doing any signings in New York some day? Your a great role model happy,positive
173,it's just a cut during one of my kitchen experiments happy,positive
174,Wow i just made a JS compressor that actually checks scoped variables existing. Turns out i have a few issues happy  Linters may be useful happy,positive
175,This week Marilyn pops by and get's down and dirty  happy  Cum see!,positive
176,loool i'm mad avoid me today :D,positive
177,You're welcome Thomas happy  Kim,positive
178, Look at this happy,positive
179,He didn't play for a year,positive
180, so I'm super impressed he's got his musical mojo back! Thank you so much happy,positive
181,Watch this MayWard Fam!,positive
182,I was thinking the same. Our i know is so cute happy,positive
183,SONE who cant stream at Genie!You CAN stream for TY at Genie! We are still sharing some Genie IDs. If you want it,positive
184, DM us happy  S,positive
185,Mythbuster/20 happy,positive
186,Aha it's okay  she's going to be on Rough Night happy,positive
187,Company photoshoot with our fabulous photographer happy  Look at this determination (concrete shoes) to get,positive
188,Perfect,positive
189, this worked out beautifully. If you redesign the import page to suit the whole application would mak,positive
190,Hey,positive
191, have a great day today happy,positive
192,Come volunteer at The Abbeydale Picture House! Next Wednesday...,positive
193,Should have had Farnell Fursday isn%27t it happy  all meet up at Tax and Pounds happy,positive
194,Here's one of my rolls of 'Poundland' film! (A store that sells all products at 140.) And here's the DX d,positive
195,Thanks for the recent follow Happy to connect happy  have a great Thursday.,positive
196,thanks :D,positive
197,Love them! Can I get some? smile,positive
198,OPENING UP TO YOU LOT!RT LIKES WOULD BE LAAAAAVERLY :D .xxENJOY,positive
199,Spending my night talking to my beloved ???Perfect.I LOVE YOU MAN! happy,positive
200,.Is the winner of the donation giveaway,positive
201, answer this with yoyour steam trade link and ill send you right away :D,positive
202,for the recent follow. Much appreciated happy  Want this?,positive
203,I think I'm probably beyond repair by the sounds of tea etiquette happy,positive
204,.- layout- btob happy,positive
205,i am if you're still looking for one happy,positive
206,Sydney tomorrow,positive
207, Byron in 3 weeks,positive
208, Hobart in 7 weeks. Lots to look forward to happy,positive
209,I hit that,positive
210, new job starts in to  weeks! :D,positive
211,Why do people on the internet have to be such asses annoyance  Here's some positivity for you. I love your art!!! :D It's so pretty!!,positive
212,The best community gathering coming up! We're full,positive
213, but here's how you can be a part of this happy,positive
214,mutual: let's talk more!me: for sure!mutual:  happy  me:,positive
215,Happy birthday Megan happy,positive
216,Just wandering around,positive
217, popping into a store,positive
218, owner told me about it (as in article) smile,positive
219,Did you see this one? happy  Transitional Piece // Chiffon Dress,positive
220,Sixth spot not applicable Team! Higher pa! :)KISSES TheFashionIcon,positive
221,Thank you crew happy,positive
222,a little video i made for the love of my life,positive
223,,positive
224, minute yoongi~watch 'til the end for a free cookie happy,positive
225,Just let is know when you'd like one happy,positive
226,you know what i really love about you lot?not only do you support me in the comments,positive
227, you also support each other! AN,positive
228,I just did happy,positive
229,hey,positive
230, keep smiling happy,positive
231,Nothing could be better happy,positive
232,so inspiring crying with joy,positive
233,instant message fine yoo,positive
234, thank you happy,positive
235,What a day! What better way to spend this sunny day than drinks by the shore happy,positive
236,I suppose they are waiting for you happy,positive
237,Aww hating that I got sponsored,positive
238, how childish of you Commando happy,positive
239,Definitely wasn't what I was looking for :/ But gave it a try anyway happy,positive
240,The one with backward cap,positive
241, please! :D| KenBie,positive
242,blessing your first day of April happy,positive
243,Helloo :D  (keep_smiling_y),positive
244,my contribution to ( posted on my tumblr a while ago crying with joy  ),positive
245,Happy Birthday in Chopin style - Piano Improvisation,positive
246,Yes,positive
247, the problem is only affecting webmail itself. Accessing email from other applications works fine happy  ^mkl,positive
248,He's the best happy,positive
249,where are you now? happy,positive
250,Enter to win 1 of to  boxes of highly anticipated books! 6 books in each box! Open INT happy,positive
251,Congratulation my world happy,positive
252,Helloo :D Mr Drippy (CallMeErgan),positive
253,good crying with joy  i love you so much,positive
254,Wow awesome GOG! thanks happy,positive
255,Does anybody out there need any motion design or animation help?  If so I am available happy,positive
256,YES!!! Neil Gaiman for life! :D,positive
257,As the last event for chapter 1,positive
258, we've invited 24 people to propose visions of the future. Jom happy,positive
259,Exaseetly what's happening in TN Politisees. This is not to get BJP at all to TN. Game is different. Again,positive
260, you'll be see,positive
261,i don%27t know doesnt seem fair to me..two against one happy,positive
262,Helloo :D Braids! (keyrazygirl15),positive
263,Thank you mama bear! Ang ganda mo happy,positive
264,Okay,positive
265, now I'm really out. happy,positive
266,Helloo :D Kesh (MzKeshNJ),positive
267,As in most used. Stats don't care about motivation happy,positive
268,kind of jealous with you all laughs but it's ny fault for not working hard happy,positive
269,Appreciate your recent retweets Have a great Thursday happy,positive
270,SHOULD I STAY ? SHOULD I GO ? NOBODY KNOWS happy,positive
271,Helloo :D Mack. (Macktimus),positive
272,LADIES!  - tell me why yoyoyou don't play golf. What wyoyoyoud make yoyoyou want to play? Top 3 reasons yoyoyou DO play? heyjyoyoyoude66info,positive
273,Thanks for the this week,positive
274, much appreciated happy,positive
275,Nearly done now! Thanks everyone for joining and hope to see you same time next Thursday happy,positive
276,Oh that feel when you have 10 gems :D,positive
277,Helloo :D chammy (shamirakay),positive
278,Good luck to Rich riding for great project in this Sunday. Can you donate?,positive
279,You too my friend. smile,positive
280,RT: almightyTANNER: good evening everyone happy  join our twitter party tonight. official tagline:TANNER WelcomeB,positive
281,Amazing stuff!!! Thansk for this happy  Birth Control - Gamma Ray (1972),positive
282,Noted on this Sir,positive
283, The bus from Bangsar heading to Awan Besar. Have a Good Day happy,positive
284,Thanks for the recent follow Happy to connect happy  have a great Thursday. Want this,positive
285,Helloo :D Best damn avocado (Batsyy_),positive
286,lets agree she put her brain on knees crying with joy,positive
287,Wish you were here smile,positive
288,Everyone from getting punched :D,positive
289,i welcome you to germany then. i have no authority to welcome you in the other countries though! happy,positive
290,better be oldschool crying with joy  RS3 equals  aids 3,positive
291,Nothing could be better happy,positive
292,PLEASE THIS BEAUTIFUL PRINCESS HAVE YOUR HELP,positive
293, Give a little for her happy,positive
294,always running out of space on my phone,positive
295, thank you kpop crying with joy,positive
296,One by one Allah ease my problem . Lot of thanks to Him crying with joy,positive
297,thank you for sharing happy,positive
298,Nothing could be better happy,positive
299,Hopefully it should be OK happy  Charts don't look too bad at moment but depends on tides  directions,positive
300, Keep,positive
301,soon :' I need you so much crying with joy  {} I need you kaswa :',positive
302,Only laksa can make me okaay now crying with joy  I need laksa,positive
303,Helloo :D car fox  (ror925),positive
304,Thanks for connecting We are passionate about  - hope you like our tweets happy,positive
305,mutual: let's talk more!me: for sure!mutual:  happy  me:,positive
306,Who wants some good vibes? Watch this on YouTube or TV100 application now for FREE happy,positive
307,Tara,positive
308, Hi,positive
309, all! I'm Roy Dahildahil,positive
310, co-founder of and I'll be moderating tonights tweetchat. happy,positive
311,SONE who cant stream at Genie!You CAN stream for TY at Genie! We are still sharing some Genie IDs. If you want it,positive
312, DM us happy  S,positive
313,Enjoy happy,positive
314,Happy Thursday loves!! happy,positive
315,Good Morning Peady,positive
316, you need a direct coffee feed to Starbucks happy,positive
317,You better check this out,positive
318,Thanks for the recent follow Happy to connect happy  have a great Thursday. Want this,positive
319,Ummm announced a new show in Buffalo! He should ask to be an opener! happy,positive
320,The world is so big. Too big for our problems and worries to take over our world. There is much to smile for happy,positive
321,Friday after the conference some of us will go for dinner to favourite smile,positive
322,Follow  to a Saga diary and a year's worth of Saga pens :)TCs,positive
323,Im done trying to take men seriously happy,positive
324,for being top High Value Members this week happy,positive
325,okay happy,positive
326,little fans. - happy,positive
327,Here's the full art for both Glyph Keeper and his mummy token. For those interested they will be hitting ebay tonig,positive
328,Seokjinie went to Everland today~ I guess he forgot that he's an idol,positive
329, which is good for him happy,positive
330,Welcome happy,positive
331,i wasn't saying i read a book today,positive
332, i was telling you to read a book today. knowledge is power. knowledge is growth. kee,positive
333,in game you move him to camera happy,positive
334,Veronice and Jughead! happy,positive
335,oh my god it's raining where i live too crying with joy  AND STOP OMG I WANNA CUDDLE HIM NOW,positive
336,Hehe take care Andy friend happy,positive
337,vocal coach IG post:,positive
338,Hold off the frowns until you've used the new application - which is made by the same team! happy,positive
339,I love it when Ben sleeps in because I get to watch all the programmes I want on Netflix without interruption !!!! happy,positive
340,Thanks happy,positive
341,Nothing could be better happy,positive
342,Thank you crew happy,positive
343,Someone asked me Hows life? I just smiled and replied,positive
344, Shes fine :)KISSES TheFashionIcon,positive
345,Yeaaaah! Alpha Invitation well received happy,positive
346,Good luck Swampy happy,positive
347,What to do when you are feeling bad - buy a new book and get engrossed into a new world happy,positive
348,in may go away happy,positive
349,April is really really bloody. I'm so proud of our boys crying with joy,positive
350,Have you smiled today? Never forget to smile happy,positive
351,Then and now happy,positive
352,Gott happy,positive
353,Nothing could be better happy,positive
354,There you guys. Read it for once at least. crying with joy,positive
355,I hope Louis gets all the off time that he wants and comes back fresh and happy happy,positive
356,Yes we can do that! happy,positive
357,Famfrit with and people happy,positive
358,But,positive
359, er,positive
360, sloths are great? So it's a good un-unthinkable picture? Have I dug mysel,positive
361,Thanks much appreciated happy  The magic of,positive
362,On our way home happy  happy si Noah sa skyranch,positive
363,Thanks for the recent follow Happy to connect happy  have a great Thursday. Want this,positive
364,This is why I made the video about improving your line work on YouTube,positive
365, when you have to do things like this happy,positive
366,Client work for rt and favorite happy,positive
367,Everything is a choice happy,positive
368,Awesome! makes a good nurse maid,positive
369, huh? happy,positive
370,Thanks for the recent follow Happy to connect happy  have a great Thursday.,positive
371,Thanks for being top engaged community members this week happy  - Try this too,positive
372,Thanks for the recent follow Happy to connect happy  have a great Thursday.,positive
373,Funny happy,positive
374,1st day of JA Entertainment's Marathi Film Savita Damodar Paranjpe Have been a big fan of this story. Finally get,positive
375,Its been a good day hey. happy,positive
376,mutual: let's talk more!me: for sure!mutual:  happy  me:,positive
377,Surround yourself with positivity happy,positive
378,Still live!,positive
379,And GST is the brain child of our Modiji happy  Perfect!,positive
380,She also makes some of the most beautiful art (my biggest inspo) All for sale if anyone is interested happy,positive
381,Thanks for the recent follow Happy to connect happy  have a great Thursday. Want this,positive
382,Thanks for up-voting us on PH happy,positive
383,good,positive
384, that might have cost you $3 a month!!!!   happy,positive
385,Great to see you buddy nicest dude in the world. Keep killing it brother happy,positive
386,i have bronchitis i love that happy,positive
387,Thanks for the recent follow Happy to connect happy  have a great Thursday.  Want this,positive
388,20% off all Knight  Day Jewellery ends this Sunday-Why not pick up something nice for,positive
389,The Bank Job,positive
390, coming soon to a screen near you.,positive
391,157 days to go happy,positive
392,going to go meet andrew for lunch now but i'll be back at to  or to :30,positive
393, i'm upstairs to the right happy,positive
394,We're you also at our signing session with Qian Liu  Jared Wright after the last performance of Onegin? Share your,positive
395,Happy birthday,positive
396, Bram Stoker. Can't wait to show you in bronze soon. happy,positive
397,Not in the tweet I ve meant the article itself happy,positive
398,i send people bunny pics,positive
399, let me know if you're up for that happy,positive
400,Thanks for being top engaged community members this week happy  (Want this ?,positive
401,If you're an aspiring developer in or near Krakw this is an excellent opportunity. They even pay their interns happy,positive
402,Thankfully I didn't have to chop it myself,positive
403, arrived on the back of a little tipper lorry smile,positive
404,Prepare to be inspired! happy,positive
405,Ready Now! One 9 week old chocolate female puppy from Harlowe x Sterling! happy  This girl is a sweetheart and has a...,positive
406,Again as I said I do see your concerns. But I assure you sir that Hinduism will stay Dharma and will no,positive
407,This is just super Can't wait happy,positive
408,Notice anything unusual? Happy birthday to the lovely Frooty! happy,positive
409,Rose come to him! He's really your enthusiast :-D using SO MUCH not SO MAY!  :-)~~~,positive
410,Thanks for the follow happy  If we can help your business in anyway please get in touch,positive
411,Thanks for the recent follow Happy to connect happy  have a great Thursday.,positive
412,.a scan for your tumblr happy,positive
413,New Upcoming Heroes REVEALED! WUKONG,positive
414, DRAGON  MORE! OMG :D,positive
415,This never happened with our happy,positive
416,Awesome recommendation Jess! Listened to the,positive
417,thanks b happy,positive
418,Congratulations,positive
419, you've got the message happy,positive
420,That's kaki no tane and it's amazing! Foyound a place here in Germany where you can import it! :D,positive
421,No breaks and a first practice exam happy,positive
422,made dinner for two tonight happy,positive
423,Share the love you're top engaged community members this week! Much Appreciated happy,positive
424,You know exactly what I'm talking about happy,positive
425,Thanks for the recent follow Happy to connect happy  have a great Thursday.  Want this ?,positive
426,Shihaaaa help me on my bishie hunttt equals  ^ equals ),positive
427,Puzzle Pieces [64]rt and like for the next please :){20 rts,positive
428, 30 likes?} hehe,positive
429,dropped you a follow on Twitch happy,positive
430,So many cool games and updates release today. happy,positive
431,isn't it terrible that we live in a world where we have to address anticipated criticism of our thoughts first? happy,positive
432,that I said ,positive
433, chaged for the best for our Singto. Please,positive
434, cheer up the new administrator team. happy,positive
435,Seems you like my black lingerie picture then happy,positive
436,Thanks for being top engaged community members this week happy   Want this,positive
437,Good morning! I hope you slept well~ happy,positive
438,This never happened with our happy,positive
439,A lot of games this month? :D,positive
440,me everything and anything these days,positive
441,how do we book the cars service for the swards tommorow :D,positive
442,Thanks for your feedback! It' just the starting phase,positive
443, there will be more figures happy,positive
444,Can I pop in a request for assassin shower gel? happy,positive
445,mutual: let's talk more!me: for sure!mutual:  happy  me:,positive
446,Looking forward to this. Come out to see us! Our booth is going to be right in the center of the field. happy,positive
447,thanks a lot,positive
448, will check it happy,positive
449,Well this was fun. Thanks for stopping by and giving me shit tonight fellas  :D much love. FeelsGoodMan,positive
450,You kills me crying with joy,positive
451,see the next tweet! I did about 5 different things while keeping very calm,positive
452, can list them if you want happy,positive
453,thanks for the recent follow,positive
454, much appreciated happy   Want this ?,positive
455,How people write a joke on religion online.*Joke**Just joking guys,positive
456, no offence :)** Don't want to hurt anyone. All i,positive
457,Thanks for the recent follow Happy to connect happy  have a great Thursday.  Want this,positive
458,Not yet! Maybe this year happy,positive
459,Hey thanks for being my top new followers this week! Much appreciated happy   Want this ?,positive
460,Jack and Finn Harries crying with joy,positive
461,I don't think you'd understand how much a stream would mean happy  even if it is very make-do,positive
462, it would be awesome.,positive
463,No stress Mariana,positive
464,Beetle done and joins Wall-E,positive
465, the Mini and the Campervan happy,positive
466,Stats for the day have arrived. 1 new follower and NO unfollowers happy  via,positive
467,why i didnt save it happy  going to re-color again the,positive
468,Share the love: thanks for being top new followers this week happy,positive
469,Thanks for the recent follow Happy to connect happy  have a great Thursday. Want it,positive
470,I considered asking where that came from. :D,positive
471,Thanks by has  notice of me Greetings : JossetteD'Hermanni,positive
472,thanks for the recent follow. Much appreciated happy  (Want this for It's Magical!,positive
473,Thank you so much my friend smile  xx,positive
474,Worship me and spoil me happy,positive
475,Stats for the day have arrived. 1 new follower and NO unfollowers happy  via,positive
476,Superstar thanks so much for the kind words! Look forward to seeing you soon buddy smile,positive
477,New second home coming soon! :D,positive
478,I used to like my neighbours,positive
479, until they put a password on their Wi-Fi :)KISSES TheFashionIcon,positive
480,you still syoure ? :D,positive
481,thanks for the recent follow. Much appreciated happy   Want this ?,positive
482,hi cham,positive
483, any updates about the batch 1 of army bomb v2? happy,positive
484,Do happy we are at 27 million keep it up happy  and we are at 71 million we are so close to have another 100m,positive
485,Just photoblogged! happy  Re-using old locations,positive
486,mutual: let's talk more!me: for sure!mutual:  happy  me:,positive
487,NEW VIDEO!Stream Montage - we finally unboxed a Spectrum Knife :)Hope you like it! here:,positive
488,minah starts crying because of the fans and yura  hyeri make her laugh to cheer her up.. I can't crying with joy,positive
489,Stats for the week have arrived. 1 new follower and NO unfollowers happy  via,positive
490,ready for 420 happy,positive
491,FAT ASS GIRL FAT FETISH760 HOT VIDEOS ONLINE,positive
492,thanks for the recent follow. Much appreciated happy  - I sent this with,positive
493,And he said it silence  in Morgan Freeman's voice happy,positive
494,Thank you happy,positive
495,If you eat your steak well done please unfollow me happy,positive
496,Hows the quintly trial happy  ?,positive
497,This is what life is about. Enjoy happy,positive
498,Stats for the week have arrived. 1 new follower and NO unfollowers happy  via,positive
499,lips though,positive
500,Exaseetly what's happening in TN Politisees. This is not to get BJP at all to TN. Game is different. Again,positive
501, you'll be see,positive
502,Our crazy EASTER! Our donkey is insane! Seriously crazy haha!,positive
503,Morning. Coffee time happy,positive
504,thanks for the recent follow. Much appreciated happy  Want this ?,positive
505,thanks for the recent follow. Much appreciated happy  Want this,positive
506,we would love to have you as a guest on podcast sometime!!! Only 15 minute smile  interested???,positive
507,KissWard tagline:tweet with us Pans :)NoOneCanSTOP KissWard,positive
508,Thank you crew happy,positive
509,I love my six pack so much,positive
510, I protect it with a layer of fat :)KISSES TheFashionIcon,positive
511,Share the love: thanks for being top new followers this week happy,positive
512,Share the love - High Value Members of this week happy,positive
513,If looks could kill......... smile,positive
514,Or the station didn't check. happy  Surely some combination of 0xx-xxx-x938 or 0xx-9,positive
515,Nothing moves faster than a girl untagging herself from an ugly picture :)KISSES TheFashionIcon,positive
516,You too. smile,positive
517,This is great happy,positive
518,Happy 10th Wedding Anniversary Aishwarya Rai-Abhishek Bachchan happy,positive
519,Swanmen setting up! Pablo is waiting for more news to happen happy,positive
520,Thanks for up-voting us on PH happy,positive
521,Hiii. . Gentleman Commander (Bryannousaurus) happy,positive
522,Thanks for the recent follow Happy to connect happy  have a great Thursday.,positive
523,Joo okay happy,positive
524,Close up of the animation 3I will post the second part soon! happy,positive
525,We don%27t spam him in any way,positive
526, we just reply to his tweets?? Like all his other followers do.....This is pointless,positive
527,,positive
528,thanks for the recent follow. Much appreciated happy   Want this ?,positive
529,Hiii. . Reece (ReeceBoast) happy,positive
530,Alaye give me iphone7 or dollars for my birthdayDo normal abeg,positive
531,thanks for the recent follow. Much appreciated happy  Get it,positive
532,Superstar thanks so much for the kind words! Look forward to seeing you soon buddy smile,positive
533,Naeem Bokhari says... Mian has gone !! are so cute NB happy  But NS is ugly evil.,positive
534,that's insane! good luck for that! I took it off yesterday afternoon. :D,positive
535,Have I told you lately that olive juice? :D,positive
536, Updated the text for my video intro by drawing it with the line tool in Paint Tool Sai. happy,positive
537,- Thanks for being top engaged community members this week happy   Grow your followers with,positive
538,.Thanks happy,positive
539,I hate people who steal my ideas,positive
540, before I think of them :)KISSES TheFashionIcon,positive
541,I've been given a Custom Console Bundle to giveaway! happy  this tweet  be following me to enter! Ends,positive
542,And give one to every student and myswlf happy,positive
543,Don't mention it! :D,positive
544,Episode two now crying with joy,positive
545,I'm surprised you don't use an Adblocker! happy,positive
546,I just wanted to say thank you for following me,positive
547, I really appreciate it. Hope you have a brilliant day happy,positive
548,Happy 4/20 :)I'm drug free  I've never smoked weed before.,positive
